,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
326,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ME,2016,
327,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT,2016,1930.0
328,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL,2016,20945.0
329,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO,2016,3490.0
330,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL,2016,12305.0
331,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT,2016,1460.0
332,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO,2016,1880.0
333,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE,2016,28795.0
334,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI,2016,1310.0
335,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK,2016,145.0
